index,symbol,rate,pair_address,last_block_timestamp,reserve0,reserve1,token0_address,token0_symbol,token0_decimals,token1_address,token1_symbol,token1_decimals
0,STELLA/WGLMR,0.31622108224056833,0x7F5Ac0FC127bcf1eAf54E3cd01b00300a0861a62,1663408596,1174179742836585332445168,371300389024737198413772,0x0E358838ce72d5e61E0018a2ffaC4bEC5F4c88d2,STELLA,18,0xAcc15dC74880C9944775448304B263D191c6077F,WGLMR,18
1,KittyBeam/WGLMR,5.182430109026323e-13,0x1107AbF99C65dDC1A54355bf9c8570957b728941,1644919206,38510117602030994963882998,19957599296291,0x52d0A61A0C9655554becfD42b663526D18127ecB,KittyBeam,18,0xAcc15dC74880C9944775448304B263D191c6077F,WGLMR,18
2,Bdoge/WGLMR,788104002.5926871,0xF9A79f16127Ce47C313b2e970daa307ac27BDd8e,1647029358,98591833,77700618210249774,0x7C2c83E9F992E8bfc9910b3F541658eb117D27e2,Bdoge,5,0xAcc15dC74880C9944775448304B263D191c6077F,WGLMR,18
3,WGLMR/Shibeam,0.2568730967373877,0xbeEaa6c8dCaFb153f6cFf4FaFb64bf24E71247E7,1647054414,3096303808149,795357147639,0xAcc15dC74880C9944775448304B263D191c6077F,WGLMR,18,0xaFD0586CdD1675fDB46f40B915eF73B2fD09AC90,Shibeam,5
4,BM/WGLMR,143462542.87165955,0x9C257BbFB9902258c7B1b5f1C833C3DeD844707A,1641991224,80108664,11492592643491370,0x80290Efd7f802C1Af7F1612f1732CefBC17e4D18,BM,5,0xAcc15dC74880C9944775448304B263D191c6077F,WGLMR,18
5,Beamfloki/WGLMR,589306005.1863397,0x3d4b427343B1a42fE311e0992e13c7Ae783Ad6E2,1642074558,63479354,37408764517549494,0x5CA44c16920193F6b908f7f8422E26EEd755e816,Beamfloki,5,0xAcc15dC74880C9944775448304B263D191c6077F,WGLMR,18
6,USDT/WGLMR,66757078824.548195,0xd4e48f6e951C8eb4cB52038A15ebb9038678e387,1641993630,3745,250005260197933,0x73eb940499461EF27E333268362ED1AA57B3Adb2,USDT,6,0xAcc15dC74880C9944775448304B263D191c6077F,WGLMR,18
7,WGLMR/Mdoge,4.175425890100078e-09,0x77d007A2A4CF0D37f8350ED6F1456Af3d4ed9537,1642045590,113665002443289610,474599794,0xAcc15dC74880C9944775448304B263D191c6077F,WGLMR,18,0xc3721a3DfeAE3018eB13566fE317F7057F5B4fC6,Mdoge,6
8,USDC/USDT,0.9986031324063899,0x8BC3CceeF43392B315dDD92ba30b435F79b66b9e,1663403244,9481877925,9468632997,0x818ec0A7Fe18Ff94269904fCED6AE3DaE6d6dC0b,USDC,6,0xeFAeeE334F0Fd1712f9a8cc375f427D9Cdd40d73,USDT,6
9,DAI/USDC,9.97872253469084e-13,0x5Ced2f8DD70dc25cbA10ad18c7543Ad9ad5AEeDD,1663408428,20958852648013791308059,20914257522,0x765277EebeCA2e31912C9946eAe1021199B39C61,DAI,18,0x818ec0A7Fe18Ff94269904fCED6AE3DaE6d6dC0b,USDC,6
10,Shiba beam/WGLMR,5630432.076832837,0x31F00d98a0B09C5B616A9bF70a1eCeEb64cC4264,1642069986,1960370437,11037732590959607,0x9E399712275Fc179EB845e3dAb5c4Fd59763d8B9,Shiba beam,6,0xAcc15dC74880C9944775448304B263D191c6077F,WGLMR,18
11,USDC/BNB,3624679708.913195,0xAc2657ba28768FE5F09052f07A9B7ea867A4608f,1663400958,383684481975,1390733356439652997437,0x818ec0A7Fe18Ff94269904fCED6AE3DaE6d6dC0b,USDC,6,0xc9BAA8cfdDe8E328787E29b4B078abf2DaDc2055,BNB,18
12,USDC/WGLMR,1917964100643.772,0x555B74dAFC4Ef3A5A1640041e3244460Dc7610d1,1663408512,40742021019,78141733702115987523241,0x818ec0A7Fe18Ff94269904fCED6AE3DaE6d6dC0b,USDC,6,0xAcc15dC74880C9944775448304B263D191c6077F,WGLMR,18
